ID,Type,Trend,Seasonality,Horizon,sMAPE,Model,sMAPE_ETS,sMAPE_Arima,sMAPE_cv,Model_cv,sMAPE_naive,sMAPE_snaive,sMAPE_drift
1253,INDUSTRY,0,Monthly,11,9.562732932,Arima,9.952351482,8.480309177,9.562732932,Arima,11.649945,7.014001504,11.7331956
1254,INDUSTRY,0,Monthly,12,9.281203468,Arima,9.78206264,8.323639048,9.281203468,Arima,10.97972339,6.730108516,10.77236564
1255,INDUSTRY,0,Monthly,13,8.976049393,Arima,9.512082259,8.256546945,8.976049393,Arima,11.80758586,6.589599787,11.33569074
1256,INDUSTRY,0,Monthly,14,9.035148363,Arima,9.490721354,8.514962343,9.035148363,Arima,13.37611652,6.903353297,12.66219623
1257,INDUSTRY,0,Monthly,15,8.653416857,Arima,9.155211133,8.03501368,8.653416857,Arima,14.04491974,6.595521719,13.09929707
1258,INDUSTRY,0,Monthly,16,8.13830389,Arima,8.620687591,7.625730838,8.13830389,Arima,14.34983529,6.26877805,13.18316553
1259,INDUSTRY,0,Monthly,17,7.95435313,Arima,8.539973195,7.416177884,7.95435313,Arima,14.12109953,6.303586054,12.74179748
1260,INDUSTRY,0,Monthly,18,8.576677165,Arima,8.997389595,8.031370605,8.576677165,Arima,14.36229118,8.275397959,12.78007854
1261,INDUSTRY,1,Monthly,1,10.38967923,ETS,10.38967923,16.68063272,16.65840265,Arima,8.333333333,19.68365554,8.015280983
1262,INDUSTRY,1,Monthly,2,6.095985286,ETS,6.095985286,10.30500654,10.27398342,Arima,4.771679631,10.77799798,4.294581313
1263,INDUSTRY,1,Monthly,3,6.875882398,ETS,6.875882398,8.371849528,8.322103458,Arima,5.645802652,10.39108927,5.644819808
1264,INDUSTRY,1,Monthly,4,9.129744004,ETS,9.129744004,8.032682541,7.95295929,Arima,5.803858715,11.36474552,6.11981526
1265,INDUSTRY,1,Monthly,5,8.70896277,ETS,8.70896277,6.500791895,6.447378643,Arima,6.806240043,9.24743844,7.374511709
